score,ein,name,city,county,zip,ntee,files_990pf,foundation_cd,assets,income,revenue,signals
60,200614587,BOSCIA FAMILY FOUNDATION,Sarasota,Sarasota,34236,T20,Y,04,10207958,672717,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,475601594,STONE FOUNDATION INC,Longboat Key,Sarasota,34228,T22,Y,04,9806118,5596115,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,825068080,ROBERT E DODS FAMILY FOUNDATION INC,Longboat Key,Sarasota,34228,T22,Y,04,9783476,5739962,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,161574554,STEINWACHS FAMILY FOUNDATION,Sarasota,Sarasota,34242,T30,Y,04,9681019,279428,0,ntee-grantmaker:T30;files-990PF;private-foundation:04;name:foundation
60,934185922,PICCHI FAMILY FOUNDATION INC,Osprey,Sarasota,34229,T22,Y,04,8949297,462469,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,208628156,DOUGLAS R MOORE FAMILY FOUNDATION,Sarasota,Sarasota,34236,T22,Y,04,8300857,6251332,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,461562521,DONA & SAM SCOTT FOUNDATION,Sarasota,Sarasota,34236,T22,Y,04,8233032,1182012,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,306558102,JAMES M DOSS CHARITABLE FOUNDATION TR,Sarasota,Sarasota,34233,T22,Y,04,7947597,2685449,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,650795533,HURLBURT FOUNDATION INC,Sarasota,Sarasota,34238,T20Z,Y,04,7156050,1556266,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,921362443,MCGRATH FAMILY FOUNDATION INC,Longboat Key,Sarasota,34228,T20,Y,04,7154513,1501426,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,651059468,CAROLYN HAMMOND BRYE CHARITABLE FOUNDATION INC,Sarasota,Sarasota,34236,T22,Y,04,7025714,209751,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,262434554,RODKIN FAMILY FOUNDATION INC,Sarasota,Sarasota,34242,T22,Y,04,6965620,1268186,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,922034369,LELAND FAMILY FOUNDATION CORP,Sarasota,Sarasota,34242,T22,Y,04,6859114,716120,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,331769334,COTE FAMILY TGS FOUNDATION INC,Anna Maria,Manatee,34216,T22,Y,04,6818755,9332689,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,832752186,REGMARK FOUNDATION INC,Sarasota,Sarasota,34277,T20,Y,04,6583934,2582240,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,263928645,OPPORTUNITY FOUNDATION INC,Sarasota,Sarasota,34236,T22,Y,04,6573497,4985402,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,656272903,SOL TAPLIN CHARITABLE FOUNDATION,Sarasota,Sarasota,34233,T20,Y,04,6295624,1070748,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,814564555,LEONARD AND JUDITH SCHWARTZBAUM FAMILY FOUNDATION INC,Sarasota,Sarasota,34231,T20,Y,04,5792205,292342,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,593575091,BERNARD F & MARY ANN POWELL FOUNDATION INC,Parrish,Manatee,34219,T20,Y,04,5675802,775548,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,383212771,DOLL-LOESEL FOUNDATION,Sarasota,Sarasota,34236,T22Z,Y,04,5518247,1955985,0,ntee-grantmaker:T22Z;files-990PF;private-foundation:04;name:foundation
60,464298978,DALEY FAMILY FOUNDATION,Longboat Key,Sarasota,34228,T22,Y,04,5443289,600453,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,205321479,DL CHARITABLE FOUNDATION,Sarasota,Sarasota,34230,T22,Y,04,5362102,1169721,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,592851924,R M BEALL SR CHARITABLE FOUNDATION,Bradenton,Manatee,34208,T22Z,Y,04,5343180,1909045,0,ntee-grantmaker:T22Z;files-990PF;private-foundation:04;name:foundation
60,261597287,MARCIA AND MICHAEL KLEIN FOUNDATION,Longboat Key,Sarasota,34228,T20,Y,04,5119853,3545786,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,650596492,KENNETH T & MILDRED S GAMMONS CHARITABLE FOUNDATION INC,Sarasota,Sarasota,34236,T22Z,Y,04,5019678,58924,0,ntee-grantmaker:T22Z;files-990PF;private-foundation:04;name:foundation
60,166399132,LAWRENCE P CASTELLANI FAMILY FOUNDATION,Sarasota,Sarasota,34236,T20Z,Y,04,4799488,838739,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,510433601,THE@ALAN AND TERRI SPOON FAMILY FOUNDATION,Longboat Key,Sarasota,34228,T22,Y,04,4792911,5309019,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,453077366,THE DUNN FAMILY CHARITABLE FOUNDATION,Sarasota,Sarasota,34242,T21,Y,04,4323063,5847844,0,ntee-grantmaker:T21;files-990PF;private-foundation:04;name:foundation
60,656329977,LINNIE E DALBECK MEMORIAL FOUNDATION,Sarasota,Sarasota,34233,T22,Y,04,4209756,2854727,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,656263281,EHRHART FAMILY FOUNDATION,Venice,Sarasota,34285,T22,Y,04,4097400,460987,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,266141110,NEIL AND SANDRA DEFEO FAMILY FOUNDATION,Sarasota,Sarasota,34242,T20,Y,04,4029857,906842,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,201035767,ELIZABETH AND KEVIN A TATTAM FOUNDATION INC,Anna Maria,Manatee,34216,T22,Y,04,3673129,1768261,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,200068099,DORIS M CARTER FAMILY FOUNDATION,Sarasota,Sarasota,34239,T20,Y,04,3660431,660728,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,656259550,PATRICIA J BUSTER FOUNDATION CHARITABLE TR UAD 04071981,Sarasota,Sarasota,34239,T20Z,Y,04,3654330,3054420,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,464026551,ANTOINE OBRIEN FAMILY FOUNDATION INC,Longboat Key,Sarasota,34228,T99,Y,04,3650782,1488157,0,ntee-grantmaker:T99;files-990PF;private-foundation:04;name:foundation
60,593680687,FAULHABER FOUNDATION INC,Nokomis,Sarasota,34275,T22,Y,04,3620885,288757,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,874016827,CAPILLARY FOUNDATION INC,Bradenton,Manatee,34206,T20,Y,04,3605045,2230173,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,134263380,PLATKIN FAMILY FOUNDATION INC,Sarasota,Sarasota,34234,T20,Y,04,3540170,3549337,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,266046163,SWART FAMILY FOUNDATION,Sarasota,Sarasota,34231,T20,Y,04,3511725,2297151,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,205349740,BOMBERGER FOUNDATION INC,Bradenton,Manatee,34211,T22,Y,04,3500785,812236,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,475564067,TACKEL-RAVEN FAMILY FOUNDATION,Osprey,Sarasota,34229,T20,Y,04,3406378,321073,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,842726862,EDWIN J BECCUE MEMORIAL FOUNDATION TRUST,Sarasota,Sarasota,34233,T20,Y,04,3251659,397047,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,200102620,SWIFT FAMILY FOUNDATION INC,Sarasota,Sarasota,34237,T22,Y,04,3235687,441417,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,020535154,HENRY S AND MARGARET GAY MIKA CHARITABLE FOUNDATION INC,Sarasota,Sarasota,34236,T22,Y,04,3233874,52036,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,311596973,ZIMMER FAMILY FOUNDATION INC,Sarasota,Sarasota,34277,T20Z,Y,04,3102124,33813227,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,306209352,RITA B LAMERE MEMORIAL FOUNDATION,Sarasota,Sarasota,34233,T20,Y,04,2917550,570033,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,205002466,SMITH FAMILY LEGACY FOUNDATION,Sarasota,Sarasota,34240,T22,Y,04,2901990,899804,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,383385672,W PAUL HOENLE FOUNDATION INC,Sarasota,Sarasota,34242,T20Z,Y,04,2896023,435076,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,275433447,DUKE & LORI VANDER ARK FOUNDATION,Englewood,Sarasota,34223,T20,Y,04,2876528,81005,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,814701284,LUO PAN FOUNDATION,Sarasota,Sarasota,34236,T20,Y,04,2873191,631197,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,206386091,LINVILLE FAM FOUNDATION,Venice,Sarasota,34285,T22,Y,04,2831471,137257,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,306458212,THE HARRY SHAPIRO CHARITABLE FOUNDATION INC,Sarasota,Sarasota,34236,T20,Y,04,2821906,1051766,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
